E4_Bvp 1558614118,38303 -88,24123
E4_Bvp 1558614118,39865 -95,43951
E4_Bvp 1558614118,41428 -98,46135
E4_Bvp 1558614118,4299 -95,86278
E4_Bvp 1558614118,44553 -87,13676
E4_Bvp 1558614118,46115 -72,98579
E4_Bvp 1558614118,47678 -55,16829
E4_Bvp 1558614118,49241 -35,98473
E4_Bvp 1558614118,50803 -17,62996
E4_Bvp 1558614118,52366 -1,676804
E4_Bvp 1558614118,53928 11,15012
E4_Bvp 1558614118,55491 20,8741
E4_Bvp 1558614118,57053 27,94334
E4_Bvp 1558614118,58616 32,92119
E4_Bvp 1558614118,60179 36,28505
E4_Bvp 1558614118,61741 38,36815
E4_Bvp 1558614118,63304 39,46361
E4_Bvp 1558614118,64866 39,84811
E4_Bvp 1558614118,66429 39,87256
E4_Bvp 1558614118,67991 39,89391
E4_Bvp 1558614118,69554 40,18509
E4_Bvp 1558614118,71117 40,84421
E4_Bvp 1558614118,72679 41,84729
E4_Bvp 1558614118,74242 43,08078
E4_Bvp 1558614118,75804 44,53934
E4_Bvp 1558614118,77367 46,35828
E4_Bvp 1558614118,78929 48,81589
E4_Bvp 1558614118,80492 52,11433
E4_Bvp 1558614118,82055 56,12486
E4_Bvp 1558614118,83617 60,23872
E4_Bvp 1558614118,8518 63,4319
E4_Bvp 1558614118,86742 64,60326
E4_Bvp 1558614118,88305 63,01369
E4_Bvp 1558614118,89867 58,61513
E4_Bvp 1558614118,9143 52,03589
E4_Bvp 1558614118,92993 44,34781
E4_Bvp 1558614118,94555 36,55914
E4_Bvp 1558614118,96118 29,26764
E4_Bvp 1558614118,9768 22,52638
E4_Bvp 1558614118,99243 15,96336
E4_Bvp 1558614119,00805 9,133606
E4_Bvp 1558614119,02368 1,761673
E4_Bvp 1558614119,03931 -6,120346
E4_Bvp 1558614119,05493 -14,2711
E4_Bvp 1558614119,07056 -22,36859
E4_Bvp 1558614119,08618 -30,15286
E4_Bvp 1558614119,10181 -37,45259
E4_Bvp 1558614119,11743 -44,13696
E4_Bvp 1558614119,13306 -50,11168
