path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_evaluation_pos.started_mean,image_emotion_evaluation_pos.started_raw,image_emotion_evaluation_pos.started_std,image_emotion_evaluation_pos.stopped_raw,rating_emotion_evaluation_pos.response_mean,rating_emotion_evaluation_pos.response_raw,rating_emotion_evaluation_pos.response_std,rating_emotion_evaluation_pos.rt_mean,rating_emotion_evaluation_pos.rt_raw,rating_emotion_evaluation_pos.rt_std,rating_emotion_evaluation_pos.started_mean,rating_emotion_evaluation_pos.started_raw,rating_emotion_evaluation_pos.started_std,rating_emotion_evaluation_pos.stopped_raw,order
resources\pictures\,Positive\,5982.0,clouds 2,.jpg,resources\pictures\Positive\5982.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1932.0836181640625,1932.0836181640625,0.0,,3.0,3.0,0.0,2.805000066757202,2.805000066757202,0.0,0.017826100811362267,0.017826100811362267,0.0,,13.0
resources\pictures\,Positive\,7325.0,girl and watermelon,.jpg,resources\pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1966.961669921875,1966.961669921875,0.0,,4.0,4.0,0.0,1.5520000457763672,1.5520000457763672,0.0,0.04098479822278023,0.04098479822278023,0.0,,39.0
resources\pictures\,Positive\,7502.0,disney land,.jpg,resources\pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1962.0625,1962.0625,0.0,,3.0,3.0,0.0,1.0920000076293945,1.0920000076293945,0.0,0.018711699172854424,0.018711699172854424,0.0,,35.0
resources\pictures\,Positive\,8330.0,women and trophy,.jpg,resources\pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1963.182373046875,1963.182373046875,0.0,,3.0,3.0,0.0,0.949999988079071,0.949999988079071,0.0,0.01767680048942566,0.01767680048942566,0.0,,36.0
resources\pictures\,Positive\,8380.0,team medals,.jpg,resources\pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1950.8123779296875,1950.8123779296875,0.0,,3.0,3.0,0.0,1.2350000143051147,1.2350000143051147,0.0,0.018808599561452866,0.018808599561452866,0.0,,26.0
resources\pictures\,Positive\,8470.0,gymnist success,.jpg,resources\pictures\Positive\8470.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1920.0245361328125,1920.0245361328125,0.0,,3.0,3.0,0.0,1.1399999856948853,1.1399999856948853,0.0,0.017566999420523643,0.017566999420523643,0.0,,4.0
resources\pictures\,Positive\,8497.0,family on rollercoaster,.jpg,resources\pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1960.8533935546875,1960.8533935546875,0.0,,3.0,3.0,0.0,1.1799999475479126,1.1799999475479126,0.0,0.017806800082325935,0.017806800082325935,0.0,,34.0
resources\pictures\,Positive\,8502.0,money,.jpg,resources\pictures\Positive\8502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1948.390380859375,1948.390380859375,0.0,,3.0,3.0,0.0,0.8949999809265137,0.8949999809265137,0.0,0.01918569952249527,0.01918569952249527,0.0,,24.0
resources\pictures\,Positive\,1601.0,man feeding giraffe,.jpg,resources\pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1952.075439453125,1952.075439453125,0.0,,3.0,3.0,0.0,1.8509999513626099,1.8509999513626099,0.0,0.01825699955224991,0.01825699955224991,0.0,,27.0
resources\pictures\,Positive\,1812.0,elefants,.jpg,resources\pictures\Positive\1812.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1937.8165283203125,1937.8165283203125,0.0,,3.0,3.0,0.0,1.0110000371932983,1.0110000371932983,0.0,0.018590399995446205,0.018590399995446205,0.0,,16.0
resources\pictures\,Positive\,1920.0,dolphins playing,.jpg,resources\pictures\Positive\1920.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1934.9173583984375,1934.9173583984375,0.0,,3.0,3.0,0.0,1.7359999418258667,1.7359999418258667,0.0,0.018943900242447853,0.018943900242447853,0.0,,14.0
resources\pictures\,Positive\,2005.0,smiling man,.jpg,resources\pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1953.9517822265625,1953.9517822265625,0.0,,3.0,3.0,0.0,1.149999976158142,1.149999976158142,0.0,0.0173272006213665,0.0173272006213665,0.0,,28.0
resources\pictures\,Positive\,2010.0,smiling man 2,.jpg,resources\pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1914.8084716796875,1914.8084716796875,0.0,,3.0,3.0,0.0,2.0269999504089355,2.0269999504089355,0.0,0.01716490089893341,0.01716490089893341,0.0,,1.0
resources\pictures\,Positive\,2058.0,baby holding hand,.jpg,resources\pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1968.5416259765625,1968.5416259765625,0.0,,4.0,4.0,0.0,1.4129999876022339,1.4129999876022339,0.0,0.01776829920709133,0.01776829920709133,0.0,,40.0
resources\pictures\,Positive\,2071.0,baby smiling,.jpg,resources\pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1959.6455078125,1959.6455078125,0.0,,4.0,4.0,0.0,1.1799999475479126,1.1799999475479126,0.0,0.016862599179148674,0.016862599179148674,0.0,,33.0
resources\pictures\,Positive\,8540.0,victory,.jpg,resources\pictures\Positive\8540.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1925.736328125,1925.736328125,0.0,,3.0,3.0,0.0,1.090999960899353,1.090999960899353,0.0,0.01723169907927513,0.01723169907927513,0.0,,9.0
resources\pictures\,Negative\,1022.0,snake close up,.jpg,resources\pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1929.12939453125,1929.12939453125,0.0,,1.0,1.0,0.0,2.9260001182556152,2.9260001182556152,0.0,0.017078399658203125,0.017078399658203125,0.0,,12.0

extraInfo
participant,dominik
session,001
startTime,
date,2019_Aug_26_1436
expName,MTEC_paradigm
psychopyVersion,3.1.3
frameRate,148.16351323223356
