Tick,Color,n,sound_1.started_mean,sound_1.started_raw,sound_1.started_std,sound_1.stopped_raw,order
152,green,1.0,575.793212890625,575.793212890625,0.0,,150.0
153,green,1.0,576.7935180664062,576.7935180664062,0.0,,151.0
154,green,1.0,577.7938232421875,577.7938232421875,0.0,,152.0
155,green,1.0,578.7893676757812,578.7893676757812,0.0,,153.0
156,green,1.0,579.7844848632812,579.7844848632812,0.0,580.2841188000166,154.0
157,green,1.0,580.7863159179688,580.7863159179688,0.0,581.285953100014,155.0
158,green,1.0,581.7879638671875,581.7879638671875,0.0,582.2877278999949,156.0
159,green,1.0,582.7947998046875,582.7947998046875,0.0,,157.0
160,green,1.0,583.7947387695312,583.7947387695312,0.0,,158.0
161,green,1.0,584.7891845703125,584.7891845703125,0.0,,159.0
162,green,1.0,585.7893676757812,585.7893676757812,0.0,,160.0
163,green,1.0,586.7852783203125,586.7852783203125,0.0,587.2850829999952,161.0
164,green,1.0,587.7904052734375,587.7904052734375,0.0,,162.0
165,green,1.0,588.7896728515625,588.7896728515625,0.0,,163.0
166,green,1.0,589.7908935546875,589.7908935546875,0.0,,164.0
167,green,1.0,590.7916870117188,590.7916870117188,0.0,,165.0
168,green,1.0,591.7921752929688,591.7921752929688,0.0,,166.0
169,green,1.0,592.7921142578125,592.7921142578125,0.0,,167.0
170,green,1.0,593.7916870117188,593.7916870117188,0.0,,168.0
171,green,1.0,594.7899169921875,594.7899169921875,0.0,,169.0
172,green,1.0,595.7894897460938,595.7894897460938,0.0,,170.0
173,green,1.0,596.78955078125,596.78955078125,0.0,,171.0
174,green,1.0,597.7845458984375,597.7845458984375,0.0,598.2842579999997,172.0
175,green,1.0,598.791748046875,598.791748046875,0.0,,173.0
176,green,1.0,599.7915649414062,599.7915649414062,0.0,,174.0
177,green,1.0,600.791015625,600.791015625,0.0,,175.0
178,green,1.0,601.79248046875,601.79248046875,0.0,,176.0
179,green,1.0,602.7939453125,602.7939453125,0.0,,177.0
180,yellow,1.0,603.7891845703125,603.7891845703125,0.0,,178.0
181,yellow,1.0,604.7880249023438,604.7880249023438,0.0,605.2877270000172,179.0
182,yellow,1.0,605.793212890625,605.793212890625,0.0,,180.0
183,yellow,1.0,606.7946166992188,606.7946166992188,0.0,,181.0
184,yellow,1.0,607.7930908203125,607.7930908203125,0.0,,182.0
185,yellow,1.0,608.7929077148438,608.7929077148438,0.0,,183.0
186,yellow,1.0,609.7940063476562,609.7940063476562,0.0,,184.0
187,yellow,1.0,610.7938232421875,610.7938232421875,0.0,,185.0
188,yellow,1.0,611.7938842773438,611.7938842773438,0.0,,186.0
189,yellow,1.0,612.7938232421875,612.7938232421875,0.0,,187.0
190,yellow,1.0,613.7932739257812,613.7932739257812,0.0,,188.0
191,yellow,1.0,614.793212890625,614.793212890625,0.0,,189.0
192,yellow,1.0,615.7885131835938,615.7885131835938,0.0,616.2880809000053,190.0
193,yellow,1.0,616.7944946289062,616.7944946289062,0.0,,191.0
194,yellow,1.0,617.7923583984375,617.7923583984375,0.0,,192.0
195,yellow,1.0,618.790283203125,618.790283203125,0.0,,193.0
196,yellow,1.0,619.7903442382812,619.7903442382812,0.0,,194.0
197,yellow,1.0,620.7913818359375,620.7913818359375,0.0,,195.0
198,yellow,1.0,621.7860107421875,621.7860107421875,0.0,622.2857727000082,196.0
199,yellow,1.0,622.792724609375,622.792724609375,0.0,,197.0
200,yellow,1.0,623.7938232421875,623.7938232421875,0.0,,198.0
201,yellow,1.0,624.7930908203125,624.7930908203125,0.0,,199.0
202,yellow,1.0,625.79443359375,625.79443359375,0.0,,200.0
203,yellow,1.0,626.7940673828125,626.7940673828125,0.0,,201.0
204,yellow,1.0,627.7938842773438,627.7938842773438,0.0,,202.0
205,yellow,1.0,628.7951049804688,628.7951049804688,0.0,,203.0
206,yellow,1.0,629.7940063476562,629.7940063476562,0.0,,204.0
207,yellow,1.0,630.7891235351562,630.7891235351562,0.0,,205.0
208,yellow,1.0,631.7862548828125,631.7862548828125,0.0,632.2861838999961,206.0
209,yellow,1.0,632.7915649414062,632.7915649414062,0.0,,207.0
