path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_evaluation_neg.started_mean,image_emotion_evaluation_neg.started_raw,image_emotion_evaluation_neg.started_std,image_emotion_evaluation_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,rating_emotion_evaluation_neg.started_mean,rating_emotion_evaluation_neg.started_raw,rating_emotion_evaluation_neg.started_std,rating_emotion_evaluation_neg.stopped_raw,order
resources\pictures\,Negative\,1201.0,spider on shoulder,.jpg,resources\pictures\Negative\1201.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2758.113525390625,2758.113525390625,0.0,,1.0,1.0,0.0,1.3839999437332153,1.3839999437332153,0.0,0.017964400351047516,0.017964400351047516,0.0,,30.0
resources\pictures\,Negative\,1726.0,roaring tiger,.jpg,resources\pictures\Negative\1726.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2755.37841796875,2755.37841796875,0.0,,2.0,2.0,0.0,1.565999984741211,1.565999984741211,0.0,0.019778400659561157,0.019778400659561157,0.0,,28.0
resources\pictures\,Negative\,1931.0,shark,.jpg,resources\pictures\Negative\1931.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2760.810302734375,2760.810302734375,0.0,,1.0,1.0,0.0,1.440000057220459,1.440000057220459,0.0,0.018379999324679375,0.018379999324679375,0.0,,32.0
resources\pictures\,Negative\,2100.0,angry man,.jpg,resources\pictures\Negative\2100.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2716.987548828125,2716.987548828125,0.0,,2.0,2.0,0.0,1.5470000505447388,1.5470000505447388,0.0,0.016568999737501144,0.016568999737501144,0.0,,1.0
resources\pictures\,Negative\,2110.0, angry man 2,.jpg,resources\pictures\Negative\2110.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2732.970458984375,2732.970458984375,0.0,,2.0,2.0,0.0,1.1419999599456787,1.1419999599456787,0.0,0.016187500208616257,0.016187500208616257,0.0,,14.0
resources\pictures\,Negative\,2692.0,bomb,.jpg,resources\pictures\Negative\2692.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2713.030029296875,2713.030029296875,0.0,,2.0,2.0,0.0,3.934000015258789,3.934000015258789,0.0,0.038076501339673996,0.038076501339673996,0.0,,0.0
resources\pictures\,Negative\,6000.0,prison  ,.jpg,resources\pictures\Negative\6000.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2750.825439453125,2750.825439453125,0.0,,1.0,1.0,0.0,1.7610000371932983,1.7610000371932983,0.0,0.019460299983620644,0.019460299983620644,0.0,,26.0

extraInfo
participant,dominik
session,001
startTime,
date,2019_Aug_26_1436
expName,MTEC_paradigm
psychopyVersion,3.1.3
frameRate,148.16351323223356
