WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_stress_part_two.keys_raw,key_resp_stress_part_two.rt_mean,key_resp_stress_part_two.rt_raw,key_resp_stress_part_two.rt_std,key_resp_stress_part_two.started_mean,key_resp_stress_part_two.started_raw,key_resp_stress_part_two.started_std,key_resp_stress_part_two.stopped_raw,order
blue,orange,orange,blue,left,1.0,'left',1.1464641094207764,1.1464641094207764,0.0,810.8501586914062,810.8501586914062,0.0,,41.0
blue,purple,purple,blue,left,1.0,'left',1.392053484916687,1.392053484916687,0.0,864.1685180664062,864.1685180664062,0.0,,77.0
blue,brown,brown,blue,left,1.0,'left',1.60506010055542,1.60506010055542,0.0,993.1865234375,993.1865234375,0.0,,162.0
blue,grey,grey,blue,left,1.0,'left',0.807027280330658,0.807027280330658,0.0,970.83349609375,970.83349609375,0.0,,145.0
blue,black,black,blue,left,1.0,'right',1.0811207294464111,1.0811207294464111,0.0,1067.5155029296875,1067.5155029296875,0.0,,208.0
blue,red,red,blue,left,1.0,'left',2.074448585510254,2.074448585510254,0.0,1017.401123046875,1017.401123046875,0.0,,178.0
green,magenta,magenta,green,left,1.0,'left',1.2193888425827026,1.2193888425827026,0.0,771.9341430664062,771.9341430664062,0.0,,15.0
green,cyan,cyan,green,left,1.0,'left',0.8621909022331238,0.8621909022331238,0.0,1040.9373779296875,1040.9373779296875,0.0,,191.0
green,yellow,yellow,green,left,1.0,'left',1.0139631032943726,1.0139631032943726,0.0,1064.99853515625,1064.99853515625,0.0,,206.0
green,orange,orange,green,left,1.0,'left',2.6769673824310303,2.6769673824310303,0.0,758.1386108398438,758.1386108398438,0.0,,8.0
green,purple,purple,green,left,1.0,'left',0.9311078786849976,0.9311078786849976,0.0,898.2034912109375,898.2034912109375,0.0,,100.0
green,brown,brown,green,left,1.0,'left',1.1261570453643799,1.1261570453643799,0.0,888.326416015625,888.326416015625,0.0,,94.0
green,grey,grey,green,left,1.0,'left',1.0302873849868774,1.0302873849868774,0.0,819.3883056640625,819.3883056640625,0.0,,47.0
green,black,black,green,left,1.0,'left',0.8634806275367737,0.8634806275367737,0.0,905.7310791015625,905.7310791015625,0.0,,106.0
green,red,red,green,left,1.0,'left',1.185364842414856,1.185364842414856,0.0,964.1981811523438,964.1981811523438,0.0,,142.0
green,blue,blue,green,left,1.0,'left',2.052050828933716,2.052050828933716,0.0,815.7445068359375,815.7445068359375,0.0,,45.0
magenta,cyan,cyan,magenta,left,1.0,'left',2.051058053970337,2.051058053970337,0.0,1068.6195068359375,1068.6195068359375,0.0,,209.0
magenta,yellow,yellow,magenta,left,1.0,'left',1.0689775943756104,1.0689775943756104,0.0,849.66259765625,849.66259765625,0.0,,67.0
magenta,orange,orange,magenta,left,1.0,'left',1.5509305000305176,1.5509305000305176,0.0,1009.3046264648438,1009.3046264648438,0.0,,173.0
magenta,purple,purple,magenta,left,1.0,'left',1.4148049354553223,1.4148049354553223,0.0,1021.61376953125,1021.61376953125,0.0,,181.0
magenta,brown,brown,magenta,left,1.0,'left',1.6663578748703003,1.6663578748703003,0.0,745.5491943359375,745.5491943359375,0.0,,1.0
magenta,grey,grey,magenta,left,1.0,'left',1.1139941215515137,1.1139941215515137,0.0,1024.224609375,1024.224609375,0.0,,183.0
magenta,black,black,magenta,left,1.0,'left',1.1970725059509277,1.1970725059509277,0.0,874.0205688476562,874.0205688476562,0.0,,84.0
magenta,red,red,magenta,left,1.0,'left',1.3129260540008545,1.3129260540008545,0.0,999.57861328125,999.57861328125,0.0,,167.0
magenta,blue,blue,magenta,left,1.0,'left',1.7348881959915161,1.7348881959915161,0.0,973.8646850585938,973.8646850585938,0.0,,148.0
magenta,green,green,magenta,left,1.0,'left',1.42341947555542,1.42341947555542,0.0,793.0311889648438,793.0311889648438,0.0,,30.0
cyan,yellow,yellow,cyan,left,1.0,'left',1.0944066047668457,1.0944066047668457,0.0,1079.7161865234375,1079.7161865234375,0.0,,216.0
cyan,orange,orange,cyan,left,1.0,'left',1.3459498882293701,1.3459498882293701,0.0,922.2495727539062,922.2495727539062,0.0,,117.0
cyan,purple,purple,cyan,left,1.0,'left',1.045382022857666,1.045382022857666,0.0,980.1161499023438,980.1161499023438,0.0,,152.0
cyan,brown,brown,cyan,left,1.0,'left',1.0893597602844238,1.0893597602844238,0.0,982.5161743164062,982.5161743164062,0.0,,154.0
cyan,grey,grey,cyan,left,1.0,'left',1.1941169500350952,1.1941169500350952,0.0,814.4994506835938,814.4994506835938,0.0,,44.0
cyan,black,black,cyan,left,1.0,'left',1.0502249002456665,1.0502249002456665,0.0,848.5903930664062,848.5903930664062,0.0,,66.0
cyan,red,red,cyan,left,1.0,'left',1.3574273586273193,1.3574273586273193,0.0,900.3981323242188,900.3981323242188,0.0,,102.0
