Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
94	green	440	1						0	93	93	93																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
95	green	440	1						0	94	94	94																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
96	green	440	1						0	95	95	95																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
97	green	440	1						0	96	96	96																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
98	green	440	1						0	97	97	97																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
99	green	440	1						0	98	98	98																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
100	green	440	1						0	99	99	99																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
101	green	440	1						0	100	100	100																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
102	green	440	1						0	101	101	101																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
103	green	440	1						0	102	102	102																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
104	green	440	1						0	103	103	103																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
105	green	440	1						0	104	104	104																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
106	green	440	1						0	105	105	105																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
107	green	440	1						0	106	106	106																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
108	green	440	1						0	107	107	107																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
109	green	440	1						0	108	108	108																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
110	green	440	1						0	109	109	109																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
111	green	440	1						0	110	110	110																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
112	green	440	1						0	111	111	111																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
113	green	440	1						0	112	112	112																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
114	green	440	1						0	113	113	113																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
115	green	440	1						0	114	114	114																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
116	green	440	1						0	115	115	115																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
117	green	440	1						0	116	116	116																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
118	green	440	1						0	117	117	117																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
119	green	440	1						0	118	118	118																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
120	green	440	1						0	119	119	119																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
121	green	440	1						0	120	120	120																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
122	green	440	1						0	121	121	121																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
123	green	440	1						0	122	122	122																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
124	green	440	1						0	123	123	123																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
125	green	440	1						0	124	124	124																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
126	green	440	1						0	125	125	125																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
127	green	440	1						0	126	126	126																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
128	green	440	1						0	127	127	127																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
129	green	440	1						0	128	128	128																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
130	green	440	1						0	129	129	129																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
131	green	440	1						0	130	130	130																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
132	green	440	1						0	131	131	131																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
133	green	440	1						0	132	132	132																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
134	green	440	1						0	133	133	133																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
135	green	440	1						0	134	134	134																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
136	green	440	1						0	135	135	135																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
137	green	440	1						0	136	136	136																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
138	green	440	1						0	137	137	137																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
139	green	440	1						0	138	138	138																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
140	green	440	1						0	139	139	139																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
141	green	440	1						0	140	140	140																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
142	green	440	1						0	141	141	141																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
143	green	440	1						0	142	142	142																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
144	green	440	1						0	143	143	143																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
145	green	440	1						0	144	144	144																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
146	green	440	1						0	145	145	145																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
147	green	440	1						0	146	146	146																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
148	green	440	1						0	147	147	147																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
149	green	440	1						0	148	148	148																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
150	green	440	1						0	149	149	149																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
151	green	440	1						0	150	150	150																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
152	green	440	1						0	151	151	151																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
153	green	440	1						0	152	152	152																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
154	green	440	1						0	153	153	153																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
155	green	440	1						0	154	154	154																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
156	green	440	1						0	155	155	155																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
157	green	440	1						0	156	156	156																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
158	green	440	1						0	157	157	157																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
159	green	440	1						0	158	158	158																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
160	green	440	1						0	159	159	159																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
161	green	440	1						0	160	160	160																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
162	green	440	1						0	161	161	161																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
163	green	440	1						0	162	162	162																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
164	green	440	1						0	163	163	163																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
165	green	440	1						0	164	164	164																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
166	green	440	1						0	165	165	165																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
167	green	440	1						0	166	166	166																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
168	green	440	1						0	167	167	167																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
