p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,28,28,8,,,,,,,,,,,,,,,410.037658010599,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,29,29,23,,,,,,,,,,,,,,,420.03714729081685,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,30,30,10,,,,,,,,,,,,,,,430.02435540294164,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,31,31,20,,,,,,,,,,,,,,,440.02247721707636,None,,,,,,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2019-09-26_12:06:46,4,51.577,5,10.925,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,3,12.384,4,4.957,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,7,14.036,6,3.927,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,6,9.04,6,2.063,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,8,9.775,6,4.978,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,6,7.143,4,3.079,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,3,7.359,5,3.711,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,2,7.426,4,1.73,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,2,3.966,4,0.966,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,3,4.846,5,6.896,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,5,8.242,5,4.18,,,,,,,,,,,,,,,,,,pg,003,2019_Sep_26_1159,EmotionSession,3.1.3,59.94692700993854,
