Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
102	green	440	1.0						0	101	101	101																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
103	green	440	1.0						0	102	102	102																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
104	green	440	1.0						0	103	103	103																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
105	green	440	1.0						0	104	104	104																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
106	green	440	1.0						0	105	105	105																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
107	green	440	1.0						0	106	106	106																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
108	green	440	1.0						0	107	107	107																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
109	green	440	1.0						0	108	108	108																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
110	green	440	1.0						0	109	109	109																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
111	green	440	1.0						0	110	110	110																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
112	green	440	1.0						0	111	111	111																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
113	green	440	1.0						0	112	112	112																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
114	green	440	1.0						0	113	113	113																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
115	green	440	1.0						0	114	114	114																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
116	green	440	1.0						0	115	115	115																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
117	green	440	1.0						0	116	116	116																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
118	green	440	1.0						0	117	117	117																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
119	green	440	1.0						0	118	118	118																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
120	green	440	1.0						0	119	119	119																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
121	green	440	1.0						0	120	120	120																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
122	green	440	1.0						0	121	121	121																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
123	green	440	1.0						0	122	122	122																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
124	green	440	1.0						0	123	123	123																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
125	green	440	1.0						0	124	124	124																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
126	green	440	1.0						0	125	125	125																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
127	green	440	1.0						0	126	126	126																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
128	green	440	1.0						0	127	127	127																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
129	green	440	1.0						0	128	128	128																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
130	green	440	1.0						0	129	129	129																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
131	green	440	1.0						0	130	130	130																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
132	green	440	1.0						0	131	131	131																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
133	green	440	1.0						0	132	132	132																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
134	green	440	1.0						0	133	133	133																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
135	green	440	1.0						0	134	134	134																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
136	green	440	1.0						0	135	135	135																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
137	green	440	1.0						0	136	136	136																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
138	green	440	1.0						0	137	137	137																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
139	green	440	1.0						0	138	138	138																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
140	green	440	1.0						0	139	139	139																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
141	green	440	1.0						0	140	140	140																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
142	green	440	1.0						0	141	141	141																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
143	green	440	1.0						0	142	142	142																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
144	green	440	1.0						0	143	143	143																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
145	green	440	1.0						0	144	144	144																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
146	green	440	1.0						0	145	145	145																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
147	green	440	1.0						0	146	146	146																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
148	green	440	1.0						0	147	147	147																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
149	green	440	1.0						0	148	148	148																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
150	green	440	1.0						0	149	149	149																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
151	green	440	1.0						0	150	150	150																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
152	green	440	1.0						0	151	151	151																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
153	green	440	1.0						0	152	152	152																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
154	green	440	1.0						0	153	153	153																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
155	green	440	1.0						0	154	154	154																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
156	green	440	1.0						0	155	155	155																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
157	green	440	1.0						0	156	156	156																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
158	green	440	1.0						0	157	157	157																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
159	green	440	1.0						0	158	158	158																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
160	green	440	1.0						0	159	159	159																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
161	green	440	1.0						0	160	160	160																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
162	green	440	1.0						0	161	161	161																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
163	green	440	1.0						0	162	162	162																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
164	green	440	1.0						0	163	163	163																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
165	green	440	1.0						0	164	164	164																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
166	green	440	1.0						0	165	165	165																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
167	green	440	1.0						0	166	166	166																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
168	green	440	1.0						0	167	167	167																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
169	green	440	1.0						0	168	168	168																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
170	green	440	1.0						0	169	169	169																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
171	green	440	1.0						0	170	170	170																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
172	green	440	1.0						0	171	171	171																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
173	green	440	1.0						0	172	172	172																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
174	green	440	1.0						0	173	173	173																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
175	green	440	1.0						0	174	174	174																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
176	green	440	1.0						0	175	175	175																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
177	green	440	1.0						0	176	176	176																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
178	green	440	1.0						0	177	177	177																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
179	green	440	1.0						0	178	178	178																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
180	yellow	880	0.5						0	179	179	179																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
181	yellow	880	0.5						0	180	180	180																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
182	yellow	880	0.5						0	181	181	181																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
183	yellow	880	0.5						0	182	182	182																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
184	yellow	880	0.5						0	183	183	183																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
185	yellow	880	0.5						0	184	184	184																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
186	yellow	880	0.5						0	185	185	185																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
187	yellow	880	0.5						0	186	186	186																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
188	yellow	880	0.5						0	187	187	187																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
189	yellow	880	0.5						0	188	188	188																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
