6.3996 	DATA 	Keypress: space
6.4089 	EXP 	text_welcome_screen: autoDraw = False
6.4089 	EXP 	text_instructions_welcome_screen: autoDraw = False
6.4089 	EXP 	text_blank_screen: autoDraw = True
6.9091 	EXP 	text_blank_screen: autoDraw = False
6.9091 	EXP 	text_blank_screen: autoDraw = False
6.9091 	EXP 	text_baseline_screen: autoDraw = True
6.9091 	EXP 	text_baseline_screen_title: autoDraw = True
11.9065 	EXP 	text_baseline_screen: autoDraw = False
11.9065 	EXP 	text_baseline_screen_title: autoDraw = False
11.9065 	EXP 	text_baseline_screen: autoDraw = False
11.9065 	EXP 	text_baseline_screen_title: autoDraw = False
11.9065 	EXP 	text_blank_screen: autoDraw = True
12.4075 	EXP 	text_blank_screen: autoDraw = False
12.4075 	EXP 	text_blank_screen: autoDraw = False
12.4075 	EXP 	text_blank_screen: autoDraw = True
12.9078 	EXP 	text_blank_screen: autoDraw = False
12.9078 	EXP 	text_blank_screen: autoDraw = False
12.9078 	EXP 	text_blank_screen: autoDraw = True
13.4124 	EXP 	text_blank_screen: autoDraw = False
13.4702 	EXP 	window1: mouseVisible = True
