Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_part_one.response,rating_part_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
100,green,0,98,98,98,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
101,green,0,99,99,99,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
102,green,0,100,100,100,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
103,green,0,101,101,101,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
104,green,0,102,102,102,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
105,green,0,103,103,103,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
106,green,0,104,104,104,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
107,green,0,105,105,105,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
108,green,0,106,106,106,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
109,green,0,107,107,107,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
110,green,0,108,108,108,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
111,green,0,109,109,109,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
112,green,0,110,110,110,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
113,green,0,111,111,111,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
114,green,0,112,112,112,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
115,green,0,113,113,113,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
