['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
[]
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.500']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 0.987', 'Score Test Data: 0.577']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 0.934', 'Score Test Data: 0.577']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 0.842', 'Score Test Data: 0.615']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 0.803', 'Score Test Data: 0.615']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 0.776', 'Score Test Data: 0.692']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.500']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.500']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.961', 'Score Test Data: 0.615']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.908', 'Score Test Data: 0.654']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.577']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.987', 'Score Test Data: 0.615']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.615']
