['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
[]
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.71']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.71']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.71']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 5', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.71']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxDepth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 25', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxDepth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 50', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 250', 'MaxDepth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 250', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 250', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 250', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 250', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 500', 'MaxDepth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 500', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 500', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 500', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 500', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.57']
[]
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 1', 'Score Train Data: 0.75', 'Score Test Data: 0.69']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 2', 'Score Train Data: 0.83', 'Score Test Data: 0.65']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 3', 'Score Train Data: 0.88', 'Score Test Data: 0.42']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 4', 'Score Train Data: 0.89', 'Score Test Data: 0.50']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 5', 'Score Train Data: 0.95', 'Score Test Data: 0.58']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 1', 'Score Train Data: 0.75', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 2', 'Score Train Data: 0.79', 'Score Test Data: 0.69']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 3', 'Score Train Data: 0.87', 'Score Test Data: 0.62']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 4', 'Score Train Data: 0.93', 'Score Test Data: 0.58']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 5', 'Score Train Data: 0.97', 'Score Test Data: 0.58']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 1', 'Score Train Data: 0.75', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 2', 'Score Train Data: 0.76', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 3', 'Score Train Data: 0.87', 'Score Test Data: 0.65']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 4', 'Score Train Data: 0.93', 'Score Test Data: 0.62']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 5', 'Score Train Data: 0.97', 'Score Test Data: 0.58']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'Score Train Data: 0.75', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'Score Train Data: 0.79', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'Score Train Data: 0.88', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'Score Train Data: 0.97', 'Score Test Data: 0.54']
