['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0025', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0015', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.001', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
[]
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
['Dataset: stress_v_stress_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.571']
[]
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 0.947', 'Score Test Data: 0.577']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 0.842', 'Score Test Data: 0.615']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.500']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 0.816', 'Score Test Data: 0.692']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 0.829', 'Score Test Data: 0.692']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 0.803', 'Score Test Data: 0.692']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.750', 'Score Test Data: 0.731']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.615']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 0.947', 'Score Test Data: 0.615']
